Date,Open,High,Low,Close,Adj Close,Volume
2015-08-31,2.310000,2.400000,2.310000,2.360000,2.360000,11800
2015-09-01,2.320000,2.400000,2.320000,2.390000,2.390000,11900
2015-09-02,2.400000,2.400000,2.320000,2.380000,2.380000,19500
2015-09-03,2.310000,2.390000,2.310000,2.390000,2.390000,3600
2015-09-04,2.330000,2.390000,2.330000,2.380000,2.380000,4300
2015-09-08,2.390000,2.390000,2.320000,2.360000,2.360000,2300
2015-09-09,2.340000,2.380000,2.330000,2.350000,2.350000,16600
2015-09-10,2.350000,2.380000,2.350000,2.370000,2.370000,1300
2015-09-11,2.380000,2.380000,2.320000,2.320000,2.320000,4900
2015-09-14,2.350000,2.380000,2.350000,2.380000,2.380000,3900
2015-09-15,2.370000,2.380000,2.300000,2.300000,2.300000,9200
2015-09-16,2.300000,2.370000,2.300000,2.300000,2.300000,12000
2015-09-17,2.380000,2.380000,2.280000,2.300000,2.300000,5300
2015-09-18,2.280000,2.290000,2.280000,2.280000,2.280000,1900
2015-09-21,2.320000,2.370000,2.320000,2.330000,2.330000,10900
2015-09-22,2.320000,2.320000,2.280000,2.300000,2.300000,2600
2015-09-23,2.340000,2.340000,2.320000,2.320000,2.320000,300
2015-09-24,2.310000,2.320000,2.270000,2.320000,2.320000,15800
2015-09-25,2.340000,2.340000,2.250000,2.310000,2.310000,2500
2015-09-28,2.260000,2.330000,2.260000,2.300000,2.300000,700
2015-09-29,2.280000,2.310000,2.230000,2.230000,2.230000,33300
2015-09-30,2.240000,2.290000,2.240000,2.240000,2.240000,700
2015-10-01,2.230000,2.280000,2.110000,2.280000,2.280000,16600
2015-10-02,2.190000,2.280000,2.190000,2.240000,2.240000,800
2015-10-05,2.190000,2.350000,2.190000,2.260000,2.260000,6300
2015-10-06,2.340000,2.340000,2.250000,2.260000,2.260000,11400
2015-10-07,2.340000,2.340000,2.200000,2.200000,2.200000,3100
2015-10-08,2.220000,2.250000,2.220000,2.230000,2.230000,2700
2015-10-09,2.270000,2.340000,2.210000,2.220000,2.220000,3900
2015-10-12,2.230000,2.250000,2.220000,2.230000,2.230000,8300
2015-10-13,2.310000,2.310000,2.240000,2.240000,2.240000,4200
2015-10-14,2.230000,2.280000,2.200000,2.280000,2.280000,9600
2015-10-15,2.210000,2.300000,2.200000,2.300000,2.300000,7000
2015-10-16,2.270000,2.350000,2.220000,2.350000,2.350000,8400
2015-10-19,2.350000,2.350000,2.240000,2.290000,2.290000,7200
2015-10-20,2.270000,2.270000,2.220000,2.260000,2.260000,9500
2015-10-21,2.260000,2.290000,2.240000,2.290000,2.290000,7900
2015-10-22,2.320000,2.320000,2.220000,2.240000,2.240000,3400
2015-10-23,2.230000,2.350000,2.230000,2.270000,2.270000,4800
2015-10-26,2.350000,2.350000,2.290000,2.290000,2.290000,6900
2015-10-27,2.290000,2.330000,2.280000,2.300000,2.300000,4200
2015-10-28,2.340000,2.340000,2.290000,2.330000,2.330000,7900
2015-10-29,2.330000,2.380000,2.320000,2.350000,2.350000,11400
2015-10-30,2.380000,2.380000,2.310000,2.310000,2.310000,4800
2015-11-02,2.310000,2.360000,2.300000,2.310000,2.310000,5500
2015-11-03,2.380000,2.380000,2.310000,2.350000,2.350000,12100
2015-11-04,2.310000,2.360000,2.300000,2.360000,2.360000,7300
2015-11-05,2.360000,2.360000,2.300000,2.300000,2.300000,5500
2015-11-06,2.310000,2.310000,2.280000,2.300000,2.300000,4400
2015-11-09,2.320000,2.330000,2.290000,2.330000,2.330000,3200
2015-11-10,2.290000,2.330000,2.290000,2.330000,2.330000,3600
2015-11-11,2.310000,2.310000,2.300000,2.300000,2.300000,1900
2015-11-12,2.300000,2.300000,2.300000,2.300000,2.300000,600
2015-11-13,2.340000,2.340000,2.290000,2.290000,2.290000,2100
2015-11-16,2.310000,2.310000,2.310000,2.310000,2.310000,4900
2015-11-17,2.290000,2.290000,2.280000,2.280000,2.280000,2900
2015-11-18,2.300000,2.300000,2.290000,2.290000,2.290000,700
2015-11-19,2.270000,2.270000,2.250000,2.270000,2.270000,10000
2015-11-20,2.270000,2.270000,2.270000,2.270000,2.270000,1100
2015-11-23,2.260000,2.260000,2.220000,2.220000,2.220000,5600
2015-11-24,2.220000,2.320000,2.220000,2.290000,2.290000,14600
2015-11-25,2.320000,2.320000,2.300000,2.300000,2.300000,1700
2015-11-27,2.300000,2.340000,2.300000,2.300000,2.300000,3400
2015-11-30,2.220000,2.350000,2.220000,2.340000,2.340000,5200
2015-12-01,2.290000,2.300000,2.250000,2.250000,2.250000,6300
2015-12-02,2.240000,2.300000,2.240000,2.250000,2.250000,2200
2015-12-03,2.250000,2.250000,2.250000,2.250000,2.250000,0
2015-12-04,2.250000,2.310000,2.250000,2.280000,2.280000,1000
2015-12-07,2.330000,2.380000,2.200000,2.270000,2.270000,38100
2015-12-08,2.200000,2.220000,2.200000,2.220000,2.220000,3400
2015-12-09,2.220000,2.220000,2.210000,2.220000,2.220000,600
2015-12-10,2.240000,2.240000,2.150000,2.220000,2.220000,14200
2015-12-11,2.110000,2.230000,2.110000,2.170000,2.170000,5700
2015-12-14,2.210000,2.250000,2.160000,2.240000,2.240000,12800
2015-12-15,2.070000,2.070000,1.300000,1.780000,1.780000,160200
2015-12-16,1.870000,1.870000,1.810000,1.860000,1.860000,54900
2015-12-17,1.880000,1.880000,1.820000,1.820000,1.820000,16400
2015-12-18,1.860000,1.860000,1.810000,1.860000,1.860000,17500
2015-12-21,1.810000,1.860000,1.800000,1.810000,1.810000,24900
2015-12-22,1.850000,1.850000,1.800000,1.830000,1.830000,22600
2015-12-23,1.830000,1.860000,1.800000,1.800000,1.800000,37100
2015-12-24,1.830000,1.850000,1.800000,1.820000,1.820000,24900
2015-12-28,1.840000,1.840000,1.800000,1.800000,1.800000,31000
2015-12-29,1.800000,1.830000,1.790000,1.830000,1.830000,16400
2015-12-30,1.820000,1.820000,1.790000,1.810000,1.810000,6500
2015-12-31,1.800000,1.820000,1.780000,1.810000,1.810000,22300
2016-01-04,1.770000,1.800000,1.750000,1.800000,1.800000,14000
2016-01-05,1.810000,1.810000,1.730000,1.750000,1.750000,10400
2016-01-06,1.750000,1.750000,1.730000,1.730000,1.730000,10300
2016-01-07,1.710000,1.770000,1.710000,1.710000,1.710000,16700
2016-01-08,1.710000,1.760000,1.710000,1.710000,1.710000,15700
2016-01-11,1.760000,1.760000,1.720000,1.720000,1.720000,4500
2016-01-12,1.750000,1.760000,1.720000,1.720000,1.720000,6200
2016-01-13,1.720000,1.750000,1.720000,1.730000,1.730000,12000
2016-01-14,1.750000,1.830000,1.750000,1.830000,1.830000,900
2016-01-15,1.830000,1.830000,1.810000,1.830000,1.830000,1700
