Date,Open,High,Low,Close,Adj Close,Volume
2015-08-31,2.980000,2.980000,2.900000,2.980000,2.980000,700
2015-09-01,2.980000,2.980000,2.880000,2.920000,2.920000,500
2015-09-02,3.000000,3.000000,2.880000,2.880000,2.880000,500
2015-09-03,3.000000,3.060000,2.880000,2.900000,2.900000,900
2015-09-04,2.900000,2.980000,2.880000,2.880000,2.880000,600
2015-09-08,2.880000,2.880000,2.880000,2.880000,2.880000,0
2015-09-09,2.880000,2.880000,2.880000,2.880000,2.880000,300
2015-09-10,2.880000,2.880000,2.880000,2.880000,2.880000,100
2015-09-11,2.880000,2.880000,2.880000,2.880000,2.880000,1600
2015-09-14,2.900000,2.960000,2.900000,2.960000,2.960000,700
2015-09-15,3.000000,3.160000,2.920000,2.920000,2.920000,1700
2015-09-16,2.920000,2.920000,2.920000,2.920000,2.920000,0
2015-09-17,2.880000,2.880000,2.860000,2.860000,2.860000,3900
2015-09-18,2.840000,2.840000,2.780000,2.780000,2.780000,5800
2015-09-21,2.660000,2.740000,2.660000,2.700000,2.700000,1600
2015-09-22,2.600000,2.600000,2.600000,2.600000,2.600000,1000
2015-09-23,2.600000,2.600000,2.600000,2.600000,2.600000,0
2015-09-24,2.480000,2.480000,2.480000,2.480000,2.480000,100
2015-09-25,2.460000,2.480000,2.420000,2.440000,2.440000,500
2015-09-28,2.420000,2.460000,2.340000,2.340000,2.340000,1300
2015-09-29,2.460000,2.460000,2.280000,2.300000,2.300000,1800
2015-09-30,2.280000,2.380000,2.280000,2.300000,2.300000,700
2015-10-01,2.400000,2.400000,2.280000,2.300000,2.300000,1700
2015-10-02,2.500000,3.160000,2.380000,2.380000,2.380000,16300
2015-10-05,2.400000,2.540000,2.360000,2.400000,2.400000,6300
2015-10-06,2.400000,2.400000,2.400000,2.400000,2.400000,0
2015-10-07,2.640000,2.640000,2.380000,2.380000,2.380000,2600
2015-10-08,2.420000,2.440000,2.360000,2.400000,2.400000,4300
2015-10-09,2.420000,2.420000,2.360000,2.360000,2.360000,2700
2015-10-12,2.380000,2.400000,2.360000,2.360000,2.360000,7500
2015-10-13,2.360000,2.360000,2.320000,2.320000,2.320000,2000
2015-10-14,2.320000,2.320000,2.300000,2.300000,2.300000,1500
2015-10-15,2.360000,2.780000,2.360000,2.600000,2.600000,5800
2015-10-16,2.380000,2.800000,2.380000,2.800000,2.800000,3000
2015-10-19,2.780000,2.780000,2.500000,2.500000,2.500000,300
2015-10-20,2.500000,2.720000,2.480000,2.700000,2.700000,3600
2015-10-21,2.440000,2.780000,2.440000,2.780000,2.780000,400
2015-10-22,2.560000,2.720000,2.500000,2.540000,2.540000,4400
2015-10-23,2.540000,2.540000,2.540000,2.540000,2.540000,0
2015-10-26,2.600000,2.600000,2.600000,2.600000,2.600000,100
2015-10-27,2.440000,2.800000,2.440000,2.800000,2.800000,7700
2015-10-28,2.780000,2.780000,2.500000,2.520000,2.520000,2600
2015-10-29,2.500000,2.700000,2.500000,2.640000,2.640000,4600
2015-10-30,2.740000,2.740000,2.720000,2.720000,2.720000,100
2015-11-02,2.540000,2.680000,2.460000,2.460000,2.460000,14800
2015-11-03,2.500000,2.500000,2.500000,2.500000,2.500000,1800
2015-11-04,2.480000,2.500000,2.420000,2.440000,2.440000,2600
2015-11-05,2.400000,2.480000,2.380000,2.480000,2.480000,5400
2015-11-06,2.400000,2.420000,2.300000,2.420000,2.420000,8200
2015-11-09,2.340000,2.400000,2.340000,2.400000,2.400000,1000
2015-11-10,2.460000,2.480000,2.460000,2.480000,2.480000,800
2015-11-11,2.500000,2.500000,2.420000,2.420000,2.420000,900
2015-11-12,2.440000,2.440000,2.340000,2.340000,2.340000,1600
2015-11-13,2.340000,2.440000,2.280000,2.280000,2.280000,3700
2015-11-16,2.280000,2.420000,2.280000,2.420000,2.420000,1100
2015-11-17,2.400000,2.460000,2.400000,2.460000,2.460000,800
2015-11-18,2.440000,2.620000,2.440000,2.620000,2.620000,1500
2015-11-19,2.460000,2.480000,2.460000,2.460000,2.460000,200
2015-11-20,2.400000,2.400000,2.380000,2.380000,2.380000,2000
2015-11-23,2.700000,2.700000,2.340000,2.380000,2.380000,2700
2015-11-24,2.360000,2.360000,2.340000,2.360000,2.360000,6800
2015-11-25,2.340000,2.500000,2.300000,2.320000,2.320000,4300
2015-11-27,2.320000,2.320000,2.320000,2.320000,2.320000,0
2015-11-30,2.460000,2.460000,2.300000,2.380000,2.380000,3500
2015-12-01,2.560000,2.560000,2.400000,2.400000,2.400000,100
2015-12-02,2.340000,2.360000,2.280000,2.360000,2.360000,4000
2015-12-03,2.360000,2.360000,2.360000,2.360000,2.360000,0
2015-12-04,2.420000,2.580000,2.320000,2.340000,2.340000,4600
2015-12-07,2.400000,2.420000,2.400000,2.400000,2.400000,1000
2015-12-08,2.380000,2.480000,2.380000,2.380000,2.380000,500
2015-12-09,2.420000,2.480000,2.320000,2.340000,2.340000,2600
2015-12-10,2.300000,2.520000,2.300000,2.440000,2.440000,6000
2015-12-11,2.400000,2.400000,2.280000,2.280000,2.280000,4700
