Date,Open,High,Low,Close,Adj Close,Volume
2015-08-31,6.650000,6.650000,6.100000,6.400000,6.400000,21600
2015-09-01,6.000000,6.500000,6.000000,6.450000,6.450000,4400
2015-09-02,6.600000,6.750000,6.250000,6.750000,6.750000,13200
2015-09-03,6.500000,6.700000,6.250000,6.500000,6.500000,14400
2015-09-04,6.550000,6.650000,6.300000,6.450000,6.450000,2200
2015-09-08,6.200000,6.500000,6.200000,6.350000,6.350000,7400
2015-09-09,6.400000,6.450000,6.200000,6.250000,6.250000,7800
2015-09-10,6.350000,6.450000,6.350000,6.400000,6.400000,100
2015-09-11,6.350000,6.400000,6.300000,6.350000,6.350000,2000
2015-09-14,6.350000,6.350000,6.300000,6.300000,6.300000,0
2015-09-15,6.300000,6.400000,6.200000,6.200000,6.200000,5200
2015-09-16,6.300000,6.450000,6.200000,6.400000,6.400000,7400
2015-09-17,6.450000,6.500000,6.150000,6.200000,6.200000,5500
2015-09-18,6.100000,6.200000,6.100000,6.150000,6.150000,5800
2015-09-21,6.200000,6.350000,6.100000,6.300000,6.300000,5400
2015-09-22,6.100000,6.400000,6.100000,6.400000,6.400000,1200
2015-09-23,6.400000,6.400000,6.200000,6.300000,6.300000,6100
2015-09-24,6.200000,6.400000,6.100000,6.350000,6.350000,6200
2015-09-25,6.150000,6.350000,6.100000,6.300000,6.300000,3500
2015-09-28,6.150000,6.400000,6.100000,6.100000,6.100000,2800
2015-09-29,6.150000,6.250000,6.100000,6.200000,6.200000,5600
2015-09-30,6.050000,6.300000,6.050000,6.250000,6.250000,5200
2015-10-01,6.250000,6.250000,6.250000,6.250000,6.250000,0
2015-10-02,6.300000,6.300000,6.100000,6.200000,6.200000,5500
2015-10-05,6.150000,6.300000,6.100000,6.150000,6.150000,2800
2015-10-06,6.150000,6.200000,6.100000,6.100000,6.100000,7800
2015-10-07,6.200000,6.200000,6.100000,6.150000,6.150000,3500
2015-10-08,6.100000,6.250000,6.100000,6.250000,6.250000,200
2015-10-09,6.150000,6.250000,6.150000,6.150000,6.150000,1100
2015-10-12,6.200000,6.200000,6.050000,6.100000,6.100000,1700
2015-10-13,5.950000,6.200000,5.950000,6.100000,6.100000,900
2015-10-14,6.100000,6.200000,5.400000,5.800000,5.800000,13500
2015-10-15,5.800000,5.900000,5.800000,5.900000,5.900000,1300
